Milliseconds,X,Y,Z,cos,headingAccuracy
48351,-0.36711714,0.723867,-0.5107607,0.28348738,0.17453292
48377,-0.3733505,0.7437962,-0.4846753,0.26919582,0.17453292
48401,-0.37249428,0.7652968,-0.4596504,0.25355536,0.17453292
48427,-0.3837446,0.749458,-0.46565092,0.2724371,0.17453292
48451,-0.39184058,0.73041505,-0.45969993,0.3187958,0.17453292
48476,-0.4112585,0.6933532,-0.46962497,0.3599725,0.17453292
48502,-0.41207108,0.664146,-0.46345735,0.41751024,0.17453292
48526,-0.4094539,0.6470205,-0.46149623,0.44803253,0.17453292
48551,-0.4080374,0.6368893,-0.4675166,0.45749947,0.17453292
48577,-0.42087013,0.61434925,-0.505774,0.4354721,0.17453292
48601,-0.41803247,0.6169655,-0.51451313,0.42412114,0.17453292
48626,-0.41194034,0.617994,-0.51971555,0.42223725,0.17453292
48652,-0.40299368,0.6225232,-0.52029294,0.42350465,0.17453292
48676,-0.38302365,0.6380522,-0.52160335,0.41726756,0.17453292
48702,-0.3761849,0.6415099,-0.5288644,0.40896508,0.17453292
48726,-0.3702971,0.6433587,-0.5384062,0.39885885,0.17453292
48751,-0.36554602,0.64450216,-0.5484632,0.38753214,0.17453292
48776,-0.34793052,0.6572926,-0.56828576,0.3520825,0.17453292
48802,-0.33941257,0.66034555,-0.57777643,0.33899447,0.17453292
48826,-0.3292157,0.66777915,-0.5853177,0.32107833,0.17453292
48851,-0.31803071,0.67966014,-0.59186643,0.2943003,0.17453292
48877,-0.29774532,0.6852466,-0.60183126,0.28210637,0.17453292
48901,-0.2886113,0.68757915,-0.6110533,0.2656168,0.17453292
48926,-0.28106445,0.68827534,-0.62436306,0.23968852,0.17453292
48951,-0.27143505,0.6956377,-0.63024926,0.2125961,0.17453292
48978,-0.25270924,0.71169734,-0.6338715,0.16682889,0.17453292
49001,-0.24627458,0.7139495,-0.6353516,0.16110025,0.17453292
49026,-0.24171436,0.7155682,-0.63706493,0.15389788,0.17453292
49052,-0.24912961,0.6958274,-0.63995,0.2102919,0.17453292
49076,-0.25653002,0.68346375,-0.6243383,0.27797708,0.17453292
49102,-0.25436237,0.6942084,-0.60800546,0.28931624,0.17453292
49126,-0.25493893,0.69878536,-0.59994113,0.29457724,0.17453292
49151,-0.26323414,0.68606734,-0.60562927,0.3053401,0.17453292
49177,-0.2727428,0.67874956,-0.60942775,0.30579117,0.17453292
49201,-0.29671845,0.6521259,-0.6099863,0.3385361,0.17453292
49227,-0.30747652,0.6419743,-0.603337,0.35959932,0.17453292
49251,-0.31930304,0.6309761,-0.59557873,0.38105214,0.17453292
49276,-0.33314523,0.6172089,-0.5858737,0.40597954,0.17453292
49302,-0.345049,0.60484684,-0.5720319,0.4334525,0.17453292
49326,-0.35800663,0.58842736,-0.5389467,0.48489273,0.17453292
49351,-0.35777822,0.5874408,-0.5186349,0.50786406,0.17453292
49377,-0.35619485,0.6305774,-0.50374436,0.47089174,0.17453292
49401,-0.37536484,0.7158693,-0.51028717,0.29366544,0.17453292
49426,-0.38221323,0.7227203,-0.50566864,0.27547702,0.17453292
49452,-0.38586652,0.7304423,-0.4928301,0.2732756,0.17453292
49476,-0.38425466,0.7531846,-0.46520802,0.26199764,0.17453292
49501,-0.39880705,0.73161757,-0.45946404,0.307541,0.17453292
49527,-0.4046995,0.71308917,-0.45754844,0.3440517,0.17453292
49551,-0.41327214,0.6944468,-0.46419424,0.36259267,0.17453292
49576,-0.41415548,0.68000746,-0.45972255,0.39334503,0.17453292
49602,-0.4108477,0.63114035,-0.46095034,0.46945798,0.17453292
49626,-0.4142521,0.61967874,-0.47472644,0.46800455,0.17453292
49652,-0.4231164,0.60894275,-0.49941763,0.44804385,0.17453292
49676,-0.4234494,0.6097732,-0.5120547,0.43205002,0.17453292
49702,-0.4058179,0.6133481,-0.5110773,0.44487748,0.17453292
49726,-0.3957318,0.6221098,-0.5130378,0.43950877,0.17453292
49751,-0.38908917,0.6267071,-0.5198387,0.43083125,0.17453292
49777,-0.38386708,0.6305786,-0.53018916,0.4170326,0.17453292
49801,-0.3785398,0.63502467,-0.5430454,0.39818716,0.17453292
49826,-0.3629307,0.6476732,-0.5618537,0.36485767,0.17453292
49851,-0.35498273,0.65232915,-0.5746576,0.34383503,0.17453292
49877,-0.3445928,0.6578768,-0.58003825,0.3346783,0.17453292
49901,-0.3347263,0.6590463,-0.58572847,0.33247316,0.17453292
49926,-0.31062868,0.68351895,-0.5919627,0.29307315,0.17453292
49951,-0.3013581,0.68370456,-0.60131514,0.2831104,0.17453292
49977,-0.2920144,0.68672705,-0.60870314,0.26946992,0.17453292
50001,-0.28269053,0.6925916,-0.6177071,0.24257155,0.17453292
50026,-0.26525685,0.6992354,-0.635071,0.19337413,0.17453292
50051,-0.25706777,0.7028544,-0.64268935,0.16389693,0.17453292
50077,-0.25159922,0.7044808,-0.64534754,0.1546969,0.17453292
50101,-0.25065413,0.7072334,-0.63936967,0.16792798,0.17453292
50126,-0.26561704,0.6744153,-0.6374772,0.26121718,0.17453292
50152,-0.2682223,0.67107797,-0.6248754,0.29536724,0.17453292
50176,-0.26629466,0.680257,-0.60795015,0.31102115,0.17453292
50201,-0.26557034,0.68871945,-0.59566015,0.31674427,0.17453292
50227,-0.2862566,0.6645052,-0.6102873,0.3225514,0.17453292
50251,-0.29688397,0.6523126,-0.61127836,0.33568883,0.17453292
50276,-0.30613166,0.64344895,-0.6081727,0.3498326,0.17453292
50302,-0.31568637,0.6357635,-0.6008898,0.36753008,0.17453292
50326,-0.3271524,0.6250827,-0.59145737,0.39041144,0.17453292
50351,-0.34905806,0.6023349,-0.568835,0.43792444,0.17453292
50377,-0.35545516,0.5833944,-0.54826885,0.48239386,0.17453292
50401,-0.3589714,0.57698387,-0.529347,0.5079576,0.17453292
50426,-0.359065,0.5782958,-0.512408,0.52353054,0.17453292
50452,-0.36414012,0.6692214,-0.4887865,0.4250088,0.17453292
50476,-0.37730175,0.70668364,-0.4969546,0.33358318,0.17453292
50501,-0.38571075,0.71395296,-0.49851406,0.30492973,0.17453292
50527,-0.3919943,0.72011113,-0.4885118,0.2985576,0.17453292
50551,-0.3983963,0.7408695,-0.46801424,0.270842,0.17453292
50577,-0.4078541,0.721158,-0.4650585,0.31194025,0.17453292
50601,-0.41576955,0.70664424,-0.4677643,0.33013055,0.17453292
50626,-0.4228116,0.6898124,-0.47134304,0.35103408,0.17453292
50651,-0.41760153,0.66663176,-0.45166272,0.4209654,0.17453292
50677,-0.41152883,0.6451283,-0.45239744,0.45802844,0.17453292
50701,-0.40947738,0.6365433,-0.45824078,0.46600032,0.17453292
