Milliseconds,Latitude,Longitude,Altitude
4076,35.7021707,51.3528208,1197.0
4101,35.7021707,51.3528208,1197.0
4126,35.7021707,51.3528208,1197.0
4150,35.7021707,51.3528208,1197.0
4175,35.7021707,51.3528208,1197.0
4201,35.7021707,51.3528208,1197.0
4226,35.7021707,51.3528208,1197.0
4250,35.7021707,51.3528208,1197.0
4276,35.7021707,51.3528208,1197.0
4301,35.7021707,51.3528208,1197.0
4325,35.7021707,51.3528208,1197.0
4351,35.7021707,51.3528208,1197.0
4375,35.7021707,51.3528208,1197.0
4401,35.7021707,51.3528208,1197.0
4426,35.7021707,51.3528208,1197.0
4451,35.7021707,51.3528208,1197.0
4475,35.7021707,51.3528208,1197.0
4502,35.7021707,51.3528208,1197.0
4527,35.7021707,51.3528208,1197.0
4550,35.7021707,51.3528208,1197.0
4576,35.7021707,51.3528208,1197.0
4601,35.7021707,51.3528208,1197.0
4626,35.7021707,51.3528208,1197.0
4651,35.7021707,51.3528208,1197.0
4675,35.7021707,51.3528208,1197.0
4701,35.7021707,51.3528208,1197.0
4725,35.7021707,51.3528208,1197.0
4750,35.7021707,51.3528208,1197.0
4776,35.7021707,51.3528208,1197.0
4800,35.7021707,51.3528208,1197.0
4825,35.7021707,51.3528208,1197.0
4851,35.7021707,51.3528208,1197.0
4875,35.7021707,51.3528208,1197.0
4900,35.7021707,51.3528208,1197.0
4925,35.7021707,51.3528208,1197.0
4951,35.7021707,51.3528208,1197.0
4975,35.7021707,51.3528208,1197.0
5000,35.7021707,51.3528208,1197.0
5026,35.7021707,51.3528208,1197.0
5051,35.7021707,51.3528208,1197.0
5075,35.7021707,51.3528208,1197.0
5101,35.7021707,51.3528208,1197.0
5126,35.7021707,51.3528208,1197.0
5152,35.7021707,51.3528208,1197.0
5175,35.7021707,51.3528208,1197.0
5200,35.7021707,51.3528208,1197.0
5226,35.7021707,51.3528208,1197.0
5251,35.7021707,51.3528208,1197.0
5275,35.7021707,51.3528208,1197.0
5301,35.7021707,51.3528208,1197.0
5325,35.7021707,51.3528208,1197.0
5351,35.7021707,51.3528208,1197.0
5375,35.7021707,51.3528208,1197.0
5401,35.7021707,51.3528208,1197.0
5426,35.7021707,51.3528208,1197.0
5451,35.7021707,51.3528208,1197.0
5476,35.7021707,51.3528208,1197.0
5500,35.7021707,51.3528208,1197.0
5526,35.7021707,51.3528208,1197.0
5550,35.7021707,51.3528208,1197.0
5575,35.7021707,51.3528208,1197.0
5600,35.7021707,51.3528208,1197.0
5626,35.7021707,51.3528208,1197.0
5650,35.7021707,51.3528208,1197.0
5675,35.7021707,51.3528208,1197.0
5701,35.7021707,51.3528208,1197.0
5725,35.7021707,51.3528208,1197.0
5750,35.7021707,51.3528208,1197.0
5776,35.7021707,51.3528208,1197.0
5800,35.7021707,51.3528208,1197.0
5825,35.7021707,51.3528208,1197.0
5851,35.7021707,51.3528208,1197.0
5875,35.7021707,51.3528208,1197.0
5901,35.7021707,51.3528208,1197.0
5925,35.7021707,51.3528208,1197.0
5951,35.7021707,51.3528208,1197.0
5975,35.7021707,51.3528208,1197.0
6001,35.7021707,51.3528208,1197.0
6025,35.7021707,51.3528208,1197.0
6051,35.7021707,51.3528208,1197.0
6075,35.7021707,51.3528208,1197.0
6101,35.7021707,51.3528208,1197.0
6125,35.7021707,51.3528208,1197.0
6150,35.7021707,51.3528208,1197.0
6176,35.7021707,51.3528208,1197.0
6200,35.7021707,51.3528208,1197.0
6226,35.7021707,51.3528208,1197.0
6250,35.7021707,51.3528208,1197.0
6275,35.7021707,51.3528208,1197.0
6300,35.7021707,51.3528208,1197.0
6326,35.7021707,51.3528208,1197.0
6351,35.7021707,51.3528208,1197.0
6376,35.7021707,51.3528208,1197.0
6400,35.7021707,51.3528208,1197.0
6425,35.7021707,51.3528208,1197.0
6450,35.7021674,51.3528266,1197.0
6476,35.7021674,51.3528266,1197.0
6500,35.7021674,51.3528266,1197.0
6525,35.7021674,51.3528266,1197.0
6550,35.7021674,51.3528266,1197.0
6575,35.7021674,51.3528266,1197.0
6600,35.7021674,51.3528266,1197.0
6626,35.7021674,51.3528266,1197.0
6650,35.7021674,51.3528266,1197.0
6675,35.7021674,51.3528266,1197.0
6700,35.7021674,51.3528266,1197.0
6726,35.7021674,51.3528266,1197.0
6750,35.7021674,51.3528266,1197.0
6775,35.7021674,51.3528266,1197.0
6801,35.7021674,51.3528266,1197.0
6825,35.7021674,51.3528266,1197.0
6851,35.7021674,51.3528266,1197.0
6875,35.7021674,51.3528266,1197.0
6900,35.7021674,51.3528266,1197.0
6926,35.7021674,51.3528266,1197.0
6950,35.7021674,51.3528266,1197.0
6975,35.7021674,51.3528266,1197.0
7000,35.7021674,51.3528266,1197.0
7026,35.7021674,51.3528266,1197.0
7050,35.7021674,51.3528266,1197.0
7076,35.7021674,51.3528266,1197.0
7100,35.7021674,51.3528266,1197.0
7125,35.7021674,51.3528266,1197.0
7151,35.7021674,51.3528266,1197.0
7175,35.7021674,51.3528266,1197.0
7201,35.7021674,51.3528266,1197.0
7226,35.7021674,51.3528266,1197.0
7251,35.7021674,51.3528266,1197.0
7275,35.7021674,51.3528266,1197.0
7300,35.7021674,51.3528266,1197.0
7325,35.7021674,51.3528266,1197.0
7351,35.7021674,51.3528266,1197.0
7375,35.7021674,51.3528266,1197.0
7401,35.7021674,51.3528266,1197.0
7425,35.7021674,51.3528266,1197.0
7450,35.7021674,51.3528266,1197.0
7476,35.7021674,51.3528266,1197.0
7500,35.7021674,51.3528266,1197.0
7525,35.7021674,51.3528266,1197.0
7551,35.7021674,51.3528266,1197.0
7575,35.7021674,51.3528266,1197.0
7601,35.7021674,51.3528266,1197.0
7625,35.7021674,51.3528266,1197.0
7650,35.7021674,51.3528266,1197.0
7676,35.7021674,51.3528266,1197.0
7700,35.7021674,51.3528266,1197.0
7726,35.7021674,51.3528266,1197.0
7750,35.7021674,51.3528266,1197.0
7775,35.7021674,51.3528266,1197.0
7801,35.7021674,51.3528266,1197.0
7825,35.7021674,51.3528266,1197.0
7851,35.7021674,51.3528266,1197.0
7875,35.7021674,51.3528266,1197.0
7900,35.7021674,51.3528266,1197.0
7926,35.7021674,51.3528266,1197.0
7950,35.7021674,51.3528266,1197.0
7975,35.7021674,51.3528266,1197.0
8001,35.7021674,51.3528266,1197.0
8025,35.7021674,51.3528266,1197.0
8051,35.7021674,51.3528266,1197.0
8075,35.7021674,51.3528266,1197.0
