,Milliseconds,RotationVectorX,RotationVectorY,RotationVectorZ,RotationVectorcos,RotationVectorheadingAccuracy,GPSLatitude,GPSLongitude,GPSAltitude,CompassX,CompassY,CompassZ,GravityX,GravityY,GravityZ,AccelerometerLinearX,AccelerometerLinearY,AccelerometerLinearZ
0,0.0,0.03822912,-0.032738917,0.5296890000000001,0.8466973,0.17453292,35.702168,51.3528294,1197.0,0.44864535692908325,28.1470145402603,-32.79810963679601,8.219940028642014e-08,-6.628794402274707e-09,9.80665041071826,-0.16924817579613982,-0.4447558141889546,0.45742813974694413
1,25.0,0.036344092,-0.029447006,0.5286314000000001,0.8475617,0.17453292,35.702168,51.3528294,1197.0,-0.8369758335849526,25.45979764071349,-33.922079425471814,-1.2300814478116706e-08,6.005791719498887e-08,9.806650281593804,-0.2326390639875304,-0.38626566044970057,-0.8286516604489649
2,50.0,0.03609825,-0.028452685,0.53009415,0.84669214,0.17453292,35.702168,51.3528294,1197.0,1.89531616072274,26.502143753538043,-35.21511732396648,3.1851778367619765e-08,6.46474814791631e-08,9.806649822814041,-0.16861877958656657,-0.19895457426112645,-0.4394663357709696
3,75.0,0.036857586,-0.02904192,0.53067976,0.84627247,0.17453292,35.702168,51.3528294,1197.0,1.8338627858192393,28.085811973808767,-34.32986366170177,2.5214119084293607e-08,6.061959245684534e-08,9.806649817499435,-0.08720014028658263,-0.08759751380357265,0.14646282647528097
4,100.0,0.03700588,-0.029182702,0.53027666,0.8465138000000001,0.17453292,35.702168,51.3528294,1197.0,-0.3695422686374689,28.39290240709305,-34.31343311171425,5.312836978688118e-08,2.668777754344376e-09,9.806650419429479,0.00499317197013691,0.05427985774103805,-0.3289485078978876
5,125.0,0.036916832999999996,-0.028260754,0.5315668,0.8457395000000001,0.17453292,35.702168,51.3528294,1197.0,1.7878676010088905,24.909172814553774,-34.645534922104815,9.947890644568247e-08,1.1983296288597955e-07,9.80665059613395,-0.17656974350229612,-0.15317074244537182,-0.8099615517870855
6,150.0,0.036548156,-0.026762635,0.5326341,0.84513247,0.17453292,35.702168,51.3528294,1197.0,1.9222010501652678,26.98696621751385,-33.81531659862286,-5.615043026374611e-08,-6.136767249920183e-08,9.80665061500182,-0.26856408941462145,-0.2961684858104758,-0.7049609612391508
7,175.0,0.036964364,-0.028672287,0.5360564999999999,0.8428849,0.17453292,35.702168,51.3528294,1197.0,-0.08001935694467355,26.419452898407663,-33.815469062836314,1.2355747688874708e-08,3.2481138223516837e-08,9.806650010475368,-0.0401675492506277,-0.0864613304695563,-0.07216279165814703
8,200.0,0.037908815,-0.030065732,0.53895694,0.84094256,0.17453292,35.702168,51.3528294,1197.0,1.806295721739651,24.189370039701632,-35.32623975586885,-1.3720960298502227e-08,-4.267664466262033e-08,9.806650252079484,0.21816222602096316,0.40538182190910843,0.20215451841964904
9,225.0,0.039849944,-0.030495225,0.54084206,0.839626,0.17453292,35.702168,51.3528294,1197.0,2.301317725932554,24.035053067067516,-35.262301720907985,-9.180019439058995e-08,-1.0222980728613607e-07,9.806649833905434,-0.15300401352166182,0.490984001036544,-0.17266638170581333
10,250.0,0.042647563,-0.031525053,0.5407801999999999,0.8394904000000001,0.17453292,35.702168,51.3528294,1197.0,0.6669841777201281,24.2586299120237,-35.82558714649017,1.8944782742558175e-08,-1.8357437570060142e-08,9.806650222088765,-0.17093391343440345,0.7697422476742721,-0.33755596556552475
11,275.0,0.04636579,-0.036448095,0.54425293,0.8368456,0.17453292,35.702168,51.3528294,1197.0,1.2856083426726983,24.470648350152743,-36.2512671638838,1.019369875315812e-07,2.076837528619535e-07,9.806649974467858,0.3975824467288033,0.5632235041040942,-0.4356357752183189
12,300.0,0.04656514,-0.035865676,0.5416833000000001,0.8385252000000001,0.17453292,35.702168,51.3528294,1197.0,-1.525354141445815,24.81616717539446,-34.858025894601994,-2.678819863155546e-08,-1.3770239393195993e-07,9.806650759233058,-0.20309003823933855,-0.034524351368551524,-0.0953727900384466
13,325.0,0.04732898,-0.03415215,0.53989273,0.839708,0.17453292,35.702168,51.3528294,1197.0,0.37873359179213306,23.840838813715997,-34.27183176567052,1.7745355471859847e-07,1.7025125886860337e-07,9.806650784999858,-0.5165808095281215,-0.07173283647276225,0.06422195024135707
14,350.0,0.050126195,-0.03526065,0.5373296999999999,0.8411426,0.17453292,35.702168,51.3528294,1197.0,-1.422602085198582,23.361412094025336,-34.224498280678354,-2.9419737618274766e-08,-1.5595944979907017e-08,9.806650546606905,-0.19375114963022674,0.7762018022172759,-0.09134797800031338
15,375.0,0.053367755999999995,-0.033946175,0.52826667,0.8467195,0.17453292,35.702168,51.3528294,1197.0,-1.1683565321708362,23.96427345756986,-37.53667232764796,5.5558973777528053e-08,1.82736723530752e-07,9.80665023774692,-0.4220568993633054,0.9574672193824616,0.4261256670153416
16,400.0,0.04635613400000001,-0.032810304,0.5281279000000001,0.8472635000000001,0.17453292,35.702168,51.3528294,1197.0,-3.063388377498736,16.215415349905157,-41.46816631921325,-1.1571820694722401e-07,-1.2625129874876961e-07,9.806649880311152,0.7121236989589977,-1.7229363149415198,-1.3322789087075804
17,425.0,0.02879815,-0.049488085999999994,0.55925614,0.8270152,0.17453292,35.702168,51.3528294,1197.0,-0.8178458970473215,14.845951725637267,-40.41485137704514,-5.974488920257315e-08,-6.840685129461122e-08,9.806650320244767,1.0788005089737145,-1.6170756152576362,-2.391002315958034
18,450.0,0.015148415,-0.052198216,0.5740390000000001,0.8170221,0.17453292,35.702168,51.3528294,1197.0,0.19628345558696125,9.347945811688287,-41.76974667192561,3.010710292183916e-08,4.5109490143246944e-08,9.806650207940919,2.720738598933141,-2.4882958469698053,-3.5703162224249048
