Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.4728753,0.5250384,-0.47485915,0.52462596,3.1415927
101,0.47504097,0.52325505,-0.47665536,0.52281916,3.1415927
200,0.4747175,0.52326614,-0.4767792,0.522989,3.1415927
300,0.47473028,0.5229489,-0.47702163,0.52307355,3.1415927
401,0.4794788,0.51835287,-0.48185414,0.5188709,3.1415927
500,0.479256,0.5194822,-0.48070556,0.5190126,3.1415927
600,0.49125466,0.5095711,-0.4901757,0.50865895,3.1415927
700,0.5043464,0.49782643,-0.503307,0.4944549,3.1415927
800,0.5199107,0.48194247,-0.518863,0.47770858,3.1415927
901,0.5491029,0.45418057,-0.5418641,0.44563368,3.1415927
1000,0.5658417,0.4323363,-0.558977,0.42479786,3.1415927
1101,0.5883695,0.395823,-0.5871011,0.39045846,3.1415927
1200,0.61519223,0.36200655,-0.6056946,0.35160175,3.1415927
1302,0.63598853,0.32257038,-0.62785447,0.3118745,3.1415927
1402,0.66325223,0.26833585,-0.6480813,0.26092705,3.1415927
1500,0.6840181,0.22690202,-0.6584523,0.21696855,3.1415927
1601,0.69658536,0.19103244,-0.66900975,0.1752181,3.1415927
1700,0.7079592,0.15362273,-0.6741182,0.1440782,3.1415927
1801,0.7084635,0.12379672,-0.68530035,0.11453073,3.1415927
1902,0.7127998,0.09862475,-0.68798757,0.09414224,3.1415927
2001,0.71457094,0.06702216,-0.69362205,0.061521266,3.1415927
2101,0.7127246,0.038329974,-0.6994294,0.036782403,3.1415927
2200,0.7078548,0.017749056,-0.70595986,0.015721815,3.1415927
2301,-0.7035307,0.0056223245,0.7105957,0.008157008,3.1415927
2401,-0.70387906,0.03748462,0.7079754,0.043818094,3.1415927
2500,-0.699813,0.07118206,0.70719665,0.071188346,0.17453292
2601,-0.6974207,0.09685229,0.70295876,0.10036389,0.17453292
2700,-0.693942,0.11593007,0.69992536,0.12291948,0.17453292
2801,-0.68663067,0.13600737,0.70011216,0.141008,0.17453292
2900,-0.678423,0.1462244,0.70194733,0.16009554,0.17453292
3001,-0.6713548,0.16124108,0.70207524,0.17428254,0.17453292
3100,-0.66676843,0.17974554,0.6961114,0.19631705,0.17453292
3200,-0.6633933,0.19741341,0.6907052,0.20943628,0.17453292
3301,-0.6615637,0.20849165,0.686202,0.2190698,0.17453292
3400,-0.6591691,0.21750018,0.6821265,0.22998516,0.17453292
3500,-0.6579614,0.2226641,0.67876655,0.23829281,0.17453292
3601,-0.65353924,0.23796928,0.67504954,0.24609998,0.17453292
