Milliseconds,X,Y,Z,cos,headingAccuracy
8000,0.43111268,0.5944092,0.5463311,0.40291667,0.17453292
8100,0.43234316,0.5934579,0.5455217,0.40409562,0.17453292
8200,0.43235207,0.5933374,0.5456342,0.404111,0.17453292
8301,0.43224898,0.5944158,0.5453369,0.40303645,0.17453292
8400,0.43343568,0.59478396,0.54422235,0.4027252,0.17453292
8500,0.4348321,0.59298927,0.54354006,0.40478262,0.17453292
8600,0.43395236,0.59367895,0.5440446,0.40403724,0.17453292
8700,0.43676135,0.5918852,0.5420769,0.4062808,0.17453292
8801,0.43598264,0.5930036,0.54237056,0.40509272,0.17453292
8900,0.43583572,0.5928259,0.54246444,0.40538505,0.17453292
9000,0.43431213,0.59405774,0.5435616,0.40374395,0.17453292
9100,0.43459874,0.5940918,0.54311866,0.40398145,0.17453292
9200,0.43661076,0.5935313,0.54156804,0.4047168,0.17453292
9301,0.43430394,0.5927171,0.54433507,0.40467998,0.17453292
9400,0.4266567,0.59400356,0.5515091,0.40120015,0.17453292
9500,0.4523724,0.5926908,0.5326837,0.40040594,0.17453292
9600,0.44333056,0.6185305,0.52177066,0.38553005,0.17453292
9700,0.48398584,0.63411754,0.47622073,0.3699547,0.17453292
9801,0.5427818,0.6466126,0.4130153,0.34161156,0.17453292
9900,0.58296955,0.6637108,0.35494232,0.3060236,0.17453292
10000,0.63824964,0.6688159,0.2750516,0.26394945,0.17453292
10100,0.67170835,0.67655194,0.21883032,0.20784281,0.17453292
10200,0.67708683,0.69604063,0.17389557,0.16383286,0.17453292
10300,0.6957785,0.69901526,0.11947084,0.11400297,0.17453292
10401,0.694913,0.7100892,0.08796769,0.0716305,0.17453292
10500,0.69368565,0.7167472,0.054741446,0.045574684,0.17453292
10600,0.6736324,0.73676133,0.045886558,0.036007743,0.17453292
10700,0.6715434,0.73995113,0.031600542,0.0224315,0.17453292
10800,0.6667113,0.7448993,0.02089054,0.013590569,0.17453292
10901,0.6606857,0.7504528,0.015591193,0.008477431,0.17453292
11000,0.6624654,0.7489987,0.011015181,0.0043795756,0.17453292
11100,0.66077065,0.7505435,0.007970061,0.0017542704,0.17453292
11200,0.6585407,0.7525188,0.0062883236,2.2319831E-4,0.17453292
11300,-0.6579347,-0.75305825,-0.0048751775,0.0011839705,0.17453292
11401,-0.6576079,-0.753347,-0.004000279,0.0020480289,0.17453292
