Milliseconds,RotationVectorX,RotationVectorY,RotationVectorZ,RotationVectorcos,RotationVectorheadingAccuracy,GPSLatitude,GPSLongitude,GPSAltitude,CompassX,CompassY,CompassZ,AccelerometerLinearX,AccelerometerLinearY,AccelerometerLinearZ
0.0,0.025625217999999998,0.006900736,-0.08000936,0.99644077,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.3449088913603353,56.60612521055743,-16.509399464502675,-0.13987520104390785,0.3495427577473457,-0.180059420271527
25.0,0.02407628,0.00807092,-0.080882594,0.9964001,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.6732123300408412,54.58689406512922,-19.525147922760574,-0.3446793061795134,-0.38137551320223245,0.07471974063104483
50.0,0.025483422000000002,0.009539332,-0.08157949,0.99629533,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.6420124466052075,54.61078994495575,-18.6704025730029,-0.1337728928315734,0.07749019575327527,0.0698097669996361
75.0,0.025042232,0.009647623000000001,-0.08151633,0.99631065,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.18034061332578227,55.11116095730023,-17.321890635835125,-0.03742121648129748,-0.11337797125224147,0.4062026034372754
100.0,0.025162728999999998,0.008659512,-0.08156522,0.9963127,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.6007413949380197,54.56059762609731,-18.02551717965064,0.2623382114507303,0.010278293637766365,0.09954454921867148
125.0,0.025181375,0.008715846999999999,-0.08229101,0.99625206,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-1.0961244215269288,55.344291728981496,-17.284748531724436,-0.019398987433674374,0.004881952789963928,-0.009447029571557752
150.0,0.02519662,0.009268705,-0.08119362,0.9963367,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,1.0696469868583514,56.47729509581191,-18.63190073227321,0.02508181101779343,-0.05741808064220816,-0.4027380472733939
175.0,0.025518881,0.009322948000000001,-0.08173531,0.9962837,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.8292912967632718,57.462885195009726,-17.134816984377384,-0.01104819230776684,0.08497230610109716,0.09971961444509611
200.0,0.025136508,0.008694172,-0.081059724,0.9963542999999999,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.7401718690755731,54.33113276932447,-18.057963748896004,0.16207277367921583,-0.11294369593261541,-1.0396463084266423
225.0,0.024766454,0.007912968000000001,-0.08140919,0.9963415999999999,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.9332596907386947,56.730447457878995,-17.270489493346876,0.19381190170039547,-0.11404111018771584,-0.0382354280432675
250.0,0.025007223999999998,0.008900456,-0.081222735,0.9963424999999999,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.989961230354909,55.696023023407506,-17.312925538606766,0.2170655193670833,0.19433749187384391,0.31614403079023057
275.0,0.024484118,0.011047607,-0.081860945,0.99628174,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.17607764922729885,55.06081420164713,-16.684207045641617,-0.5770664764879331,-0.091784225573661,0.4103670290872724
300.0,0.02493544,0.012102877,-0.082586996,0.99619836,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.5960351206282803,54.492283558023836,-16.640225439468914,-0.27191737877354594,0.1397556190506891,0.5868893488189306
325.0,0.024968412000000002,0.011122251000000001,-0.082573526,0.99621004,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.4942960314054216,55.334826514865355,-19.364084795495685,0.21926746689585364,-0.018607029815877692,-0.36184254003308386
350.0,0.025154852999999998,0.009614784,-0.08134136,0.99632245,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.16281396452558117,55.11505961154358,-17.309655560612786,0.21675994862736617,-0.03826215788536681,-0.6023563089382934
375.0,0.025116522000000002,0.008505133,-0.080374174,0.9964120000000001,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.9110766460090972,55.700481180189236,-17.3029110327531,0.2963684906405911,-0.031625245104345064,-0.41157972319148944
400.0,0.024856891000000002,0.0090813935,-0.08150624,0.99632144,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-1.4295306147127134,53.92801641056163,-17.38425880380168,-0.16360331852213317,-0.05738202263060782,0.19813245238079058
425.0,0.024029143,0.009693813,-0.08162521,0.9963261999999998,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.18643259388634215,55.07613062586918,-17.43288725851895,-0.1785722647251522,-0.20357645566727597,0.37760651724705807
450.0,0.024250552,0.009540181,-0.08227877,0.9962686,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.6575915713734588,53.760117637779516,-16.77356507201027,-0.02719475350095856,-0.10992005305144671,0.30434170724842874
475.0,0.022676641,0.009397259,-0.08120303599999999,0.9963953000000001,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,1.668684655823507,55.470090268514674,-16.896887533265947,0.01111390452508309,-0.4170637860884318,-0.090728607763106
500.0,0.023316465,0.008946256,-0.08086188,0.9964124,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.25255072925326233,55.719122281608946,-16.797614001928498,-0.052626185341817774,0.09453987367680983,0.47885868773851314
525.0,0.02230683,0.008888601,-0.08123158,0.99640596,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.5419191510367865,55.15984996976358,-18.30239771507268,-0.0088316947662322,-0.2693884568262902,-0.883958069063853
550.0,0.023385566,0.0075054380000000006,-0.080123186,0.9964823,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.921629334820427,55.60522081853423,-16.814902922370223,0.3933295672359558,0.2566212836253766,-0.3922758001332992
575.0,0.023072591,0.009072555999999999,-0.07965515599999999,0.99651414,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,-0.6991849779561798,55.12134089195163,-16.838995236911316,-0.579728120984755,0.08348150558869516,0.7196386196974823
600.0,0.02332106,0.011072213000000001,-0.08031355,0.9964353000000001,0.17453292,35.70380404373931,51.34774859776874,1196.9605712890625,0.013454738911221786,54.989513953860985,-16.12131115494437,-0.5255113150019171,0.10675403988704076,0.1911071738038341
