Milliseconds,X,Y,Z,cos,headingAccuracy
16851,0.0252834,0.003987114,-0.054245636,0.9981995,0.17453292
16877,0.025280679,0.004004322,-0.05356619,0.9982362,0.17453292
16901,0.024708975,0.0017537749,-0.053463753,0.9982625,0.17453292
16926,0.023532534,4.478089E-4,-0.05163014,0.9983889,0.17453292
16951,0.023596881,8.3120464E-4,-0.05288035,0.99832165,0.17453292
16977,0.02333086,0.0010619666,-0.05304341,0.99831903,0.17453292
17001,0.023917109,0.0017557335,-0.05384013,0.9982616,0.17453292
17027,0.02446644,0.0031043296,-0.054393884,0.99821496,0.17453292
17051,0.024385357,5.043713E-4,-0.05222169,0.9983376,0.17453292
17076,0.02433681,-0.0013143318,-0.051838905,0.998358,0.17453292
17102,0.023860903,8.288138E-5,-0.052125722,0.99835545,0.17453292
17126,0.026068226,0.0020676246,-0.05293424,0.99825555,0.17453292
17151,0.027045147,0.006645181,-0.054090027,0.9981476,0.17453292
17176,0.027596422,0.008456308,-0.05459185,0.9980915,0.17453292
17202,0.02713754,0.009932617,-0.055528894,0.99803877,0.17453292
17226,0.028544175,0.007238209,-0.05358912,0.9981288,0.17453292
17251,0.027904762,0.005468721,-0.052416734,0.9982204,0.17453292
17276,0.026373647,0.0023185494,-0.05181268,0.9983058,0.17453292
17301,0.026534675,4.659022E-4,-0.051143177,0.99833864,0.17453292
17327,0.027563054,-0.0016729189,-0.04994538,0.9983702,0.17453292
17351,0.02698596,-0.0050567575,-0.048497442,0.99844587,0.17453292
17376,0.029222954,-0.0057879128,-0.047847547,0.9984103,0.17453292
17401,0.031001389,-0.0044258535,-0.048648562,0.99832493,0.17453292
17426,0.031714123,-0.0015610356,-0.049113896,0.99828833,0.17453292
17452,0.034531772,-0.0044570398,-0.04817736,0.99823177,0.17453292
17476,0.035543468,-0.0048935697,-0.047974296,0.998204,0.17453292
17501,0.035705302,-0.0042186733,-0.0481742,0.99819165,0.17453292
17526,0.03769715,-0.0053184573,-0.048246145,0.9981097,0.17453292
17552,0.04000965,-0.006292086,-0.04914459,0.99797016,0.17453292
17576,0.039203182,-0.004531528,-0.049630158,0.9979877,0.17453292
17601,0.04075275,-0.004967358,-0.04981137,0.9979145,0.17453292
17626,0.042593572,-0.0049179425,-0.049720787,0.9978424,0.17453292
17652,0.04259127,-0.006408635,-0.050009057,0.9978196,0.17453292
17676,0.04598496,-0.008345328,-0.04933166,0.9976884,0.17453292
17701,0.048707202,-0.008563479,-0.049146324,0.9975665,0.17453292
17727,0.05052408,-0.007861459,-0.049567714,0.9974611,0.17453292
17751,0.05089567,-0.008286608,-0.05007292,0.9974135,0.17453292
17776,0.055363137,-0.0075691277,-0.04911939,0.9972286,0.17453292
17801,0.054699734,-0.0096382685,-0.04934781,0.9972361,0.17453292
17827,0.057491686,-0.008695845,-0.051206857,0.99699396,0.17453292
17851,0.057450823,-0.0058923573,-0.052698344,0.9969391,0.17453292
17876,0.058340088,-0.005336577,-0.053201735,0.99686384,0.17453292
17901,0.05858366,-0.0056766085,-0.054561276,0.9967742,0.17453292
17926,0.059939887,-0.0035178955,-0.055212155,0.9966677,0.17453292
17951,0.05956583,-0.0025431209,-0.055517185,0.99667615,0.17453292
