Milliseconds,Latitude,Longitude,Altitude
2,35.70380404373931,51.347748597768735,1196.9605712890625
26,35.70380404373931,51.347748597768735,1196.9605712890625
50,35.70380404373931,51.347748597768735,1196.9605712890625
76,35.70380404373931,51.347748597768735,1196.9605712890625
100,35.70380404373931,51.347748597768735,1196.9605712890625
125,35.70380404373931,51.347748597768735,1196.9605712890625
150,35.70380404373931,51.347748597768735,1196.9605712890625
176,35.70380404373931,51.347748597768735,1196.9605712890625
200,35.70380404373931,51.347748597768735,1196.9605712890625
225,35.70380404373931,51.347748597768735,1196.9605712890625
250,35.70380404373931,51.347748597768735,1196.9605712890625
276,35.70380404373931,51.347748597768735,1196.9605712890625
300,35.70380404373931,51.347748597768735,1196.9605712890625
325,35.70380404373931,51.347748597768735,1196.9605712890625
350,35.70380404373931,51.347748597768735,1196.9605712890625
376,35.70380404373931,51.347748597768735,1196.9605712890625
400,35.70380404373931,51.347748597768735,1196.9605712890625
425,35.70380404373931,51.347748597768735,1196.9605712890625
451,35.70380404373931,51.347748597768735,1196.9605712890625
475,35.70380404373931,51.347748597768735,1196.9605712890625
500,35.70380404373931,51.347748597768735,1196.9605712890625
525,35.70380404373931,51.347748597768735,1196.9605712890625
551,35.70380404373931,51.347748597768735,1196.9605712890625
575,35.70380404373931,51.347748597768735,1196.9605712890625
600,35.70380404373931,51.347748597768735,1196.9605712890625
626,35.70380404373931,51.347748597768735,1196.9605712890625
650,35.70380404373931,51.347748597768735,1196.9605712890625
675,35.70380404373931,51.347748597768735,1196.9605712890625
700,35.70380404373931,51.347748597768735,1196.9605712890625
726,35.70380404373931,51.347748597768735,1196.9605712890625
750,35.70380404373931,51.347748597768735,1196.9605712890625
775,35.70380404373931,51.347748597768735,1196.9605712890625
801,35.70380404373931,51.347748597768735,1196.9605712890625
825,35.70380404373931,51.347748597768735,1196.9605712890625
850,35.70380404373931,51.347748597768735,1196.9605712890625
875,35.70380404373931,51.347748597768735,1196.9605712890625
901,35.704106972371115,51.34780834167643,1198.2489013671875
925,35.704106972371115,51.34780834167643,1198.2489013671875
950,35.704106972371115,51.34780834167643,1198.2489013671875
