Milliseconds,X,Y,Z
9,-0.06565078,0.11405692,9.805767
101,-0.06395686,0.11253371,9.805796
202,-0.06569451,0.112501785,9.805784
301,-0.070275486,0.11185037,9.80576
401,-0.06688691,0.11129003,9.80579
501,-0.06524496,0.11013966,9.805815
602,-0.06904325,0.111440614,9.805774
701,-0.06652832,0.10970856,9.805811
801,-0.0667286,0.10255894,9.805886
902,-0.064181924,0.105475746,9.805873
1001,-0.090144604,0.111340076,9.805604
1102,-0.10063869,0.11748639,9.80543
1201,-0.090837404,0.11785716,9.805521
1302,-0.120255515,0.13196287,9.805025
1401,-0.05507067,0.11670506,9.805801
1501,-0.042538267,0.11671337,9.805863
1602,-0.047821335,0.12381213,9.805752
1703,-0.056844216,0.13065737,9.805614
1803,-0.05786312,0.13074814,9.805608
1901,-0.07263455,0.13139924,9.805501
2003,-0.06578734,0.12953655,9.805574
2101,-0.08544714,0.13825873,9.805304
2202,-0.07074191,0.1398411,9.805398
2302,-0.050243318,0.13387045,9.805608
2402,-0.08480018,0.14178076,9.805259
2502,-0.059335776,0.13681534,9.805516
2603,-0.07934533,0.14034395,9.805325
2703,-0.09327579,0.14280663,9.805166
2803,-0.05829782,0.13330132,9.805571
2901,-0.05216364,0.1416335,9.805489
3002,-0.06820159,0.13934326,9.805423
3102,-0.05622275,0.14211278,9.805459
3201,-0.05890434,0.14171696,9.8054495
3302,-0.055982392,0.13493139,9.805562
3401,-0.043276135,0.13847156,9.805576
3502,-0.07426084,0.14531685,9.805292
3601,-0.058871835,0.14285024,9.805433
3702,-0.023105856,0.1305389,9.805755
3801,-0.01563264,0.1244381,9.805848
3902,-0.019725088,0.12643538,9.805815
4001,-0.038991995,0.12499626,9.805776
4101,-0.023027824,0.13535148,9.805689
4202,-0.012810169,0.13213995,9.805751
4301,-0.010656642,0.12681112,9.805824
4402,-0.01362311,0.12675442,9.805821
4502,-0.012553675,0.1255999,9.805838
4602,-0.0058763972,0.12645978,9.805833
4703,-0.03984983,0.1306423,9.805699
4802,-0.004372138,0.1255201,9.805846
4902,3.761084E-4,0.12159481,9.805897
5003,-0.021337938,0.12814592,9.80579
5102,-0.08206377,0.15819196,9.805031
5203,-0.03396207,0.12509653,9.805794
5303,0.009194918,0.11225308,9.806004
5403,0.03585092,0.10461089,9.806026
5503,0.034310874,0.100322865,9.806077
5603,0.023763465,0.102110825,9.806089
5703,0.01697021,0.10227948,9.806102
5803,0.011965987,0.10119104,9.806121
5902,0.005700947,0.100207575,9.806136
6001,0.0060710134,0.09810015,9.806158
6102,0.007034617,0.099860325,9.806139
6202,0.005897037,0.0976171,9.806163
6301,-0.049987517,0.11451794,9.805854
6402,-0.007061484,0.09949124,9.806143
6501,0.015660567,0.09545046,9.806173
6601,-0.04911014,0.114580356,9.805858
6701,-0.031142289,0.106765516,9.80602
6801,-0.0057210736,0.096081324,9.806178
6902,-0.07696046,0.11896725,9.805627
7001,-0.033103257,0.10266394,9.806057
7101,0.009929771,0.08831323,9.806248
7202,0.030486409,0.07852952,9.806289
7301,0.04689016,0.07733988,9.806233
7402,0.009812697,0.09032917,9.80623
7503,-0.008625145,0.08950427,9.806238
7603,0.0023548626,0.0868636,9.806266
7701,-0.039640315,0.0961167,9.806099
7803,-0.0012023482,0.08175235,9.806309
7902,0.017000526,0.071671665,9.806374
8002,0.0011866933,0.073209606,9.806377
8103,5.1887723E-4,0.07028393,9.806398
8202,-0.0024467772,0.06429147,9.806439
8301,-0.02357867,0.06437181,9.806411
8403,-0.03057452,0.060822755,9.806414
8503,-0.030562015,0.051331744,9.806468
8603,-0.011378247,0.037935644,9.80657
8701,0.016388701,0.027105063,9.806599
8803,-0.017048359,0.03564235,9.806571
8902,-0.030083448,0.03284936,9.806549
9001,-0.032000303,0.021162365,9.806575
9102,-0.004679708,0.0026240028,9.806649
9201,-0.041610047,0.007689275,9.806559
9302,-0.077265196,0.004422,9.806345
9402,-0.035588484,-0.0107813105,9.80658
9501,-0.013382536,-0.02069881,9.80662
9601,-0.030729657,-0.013638085,9.806592
9702,-0.05436986,-0.010289698,9.806494
9801,-0.07544947,-0.014742306,9.806349
9902,-0.08383128,-0.01662457,9.806277
10002,-0.10326206,-0.017734628,9.80609
10101,-0.113757744,-0.025686761,9.805957
10203,-0.10803892,-0.031171404,9.8060055
10303,-0.119308926,-0.03159351,9.805874
10401,-0.11691945,-0.0325051,9.8059
10502,-0.10372743,-0.03910177,9.806024
10601,-0.13293986,-0.031187955,9.805699
10701,-0.13192508,-0.030172424,9.8057165
10802,-0.11803982,-0.03605691,9.805873
10901,-0.109268814,-0.026499905,9.8060055
11001,-0.103393614,-0.021043656,9.806083
11101,-0.08683554,-0.014164165,9.806255
11201,-0.11278239,0.00680453,9.805999
11302,-0.1524312,0.023287386,9.805438
11401,-0.14163376,0.023836503,9.805598
11501,-0.116552114,0.026635371,9.805922
11602,-0.09715802,0.030521948,9.806121
11701,-0.1272484,0.048094235,9.805707
11801,-0.10359675,0.049707104,9.805977
11902,-0.09198917,0.05424197,9.806068
12001,-0.12707387,0.070850775,9.805571
12102,-0.10479422,0.066592954,9.805864
12201,-0.087507,0.06865561,9.80602
12301,-0.08709431,0.07136563,9.806004
12402,-0.068423316,0.0736276,9.806135
12501,-0.05559458,0.079940334,9.806167
12601,-0.04525439,0.08224656,9.806201
12701,-0.03505945,0.08445188,9.806224
12801,-0.037880752,0.08844761,9.806178
12902,-0.052203976,0.09282612,9.806071
13001,-0.06394617,0.100193284,9.80593
13102,-0.06911774,0.104531005,9.805849
13201,-0.073523566,0.105188675,9.80581
13301,-0.07686149,0.10810485,9.805753
13402,-0.07290319,0.10880933,9.805776
13501,-0.10239436,0.12230968,9.805353
