Milliseconds,X,Y,Z,cos,headingAccuracy
8,0.0065800897,0.0013138184,-0.3194991,0.9475628,0.17453292
101,0.0064814924,0.0012433351,-0.32146618,0.94689804,0.17453292
201,0.006509392,0.0013230514,-0.32215008,0.9466653,0.17453292
302,0.0065540615,0.0015512325,-0.32267517,0.9464858,0.17453292
401,0.0064727813,0.0013898711,-0.32370603,0.94613457,0.17453292
501,0.006391717,0.0013222437,-0.32480198,0.94575953,0.17453292
602,0.0065164315,0.0014879446,-0.3242092,0.9459618,0.17453292
701,0.006389692,0.0014026657,-0.32311505,0.9463371,0.17453292
801,0.006046799,0.0015348464,-0.32237545,0.9465913,0.17453292
901,0.0061441227,0.0013711617,-0.3212701,0.9469667,0.17453292
1002,0.006853664,0.002525843,-0.3216616,0.9468265,0.17453292
1101,0.0073206066,0.002936494,-0.32103702,0.9470338,0.17453292
1201,0.007175445,0.0024647382,-0.32003388,0.9473757,0.17453292
1302,0.0083219865,0.0036896716,-0.3161591,0.9486625,0.17453292
1401,0.0062711528,4.574456E-4,-0.3064595,0.95186293,0.17453292
1501,0.0063956957,2.5836233E-4,-0.2985775,0.95436394,0.17453292
1601,0.006750219,4.8083343E-4,-0.29310238,0.95605713,0.17453292
1702,0.0072098654,8.935032E-4,-0.2831302,0.959054,0.17453292
1802,0.007220774,0.0010032295,-0.27499473,0.9614181,0.17453292
1901,0.007443436,0.0017879092,-0.2659907,0.9639452,0.17453292
2002,0.0072419867,0.0015579464,-0.25516337,0.9668696,0.17453292
2101,0.007893633,0.002523262,-0.24174678,0.97030395,0.17453292
2202,0.007765199,0.0018843174,-0.22823805,0.97357255,0.17453292
2301,0.0072167274,0.0010350466,-0.21489798,0.9766093,0.17453292
2402,0.007950486,0.0027828077,-0.20095184,0.9795649,0.17453292
2501,0.0074115642,0.0016982238,-0.18292539,0.9830974,0.17453292
2602,0.00771999,0.0028238576,-0.16315617,0.986566,0.17453292
2702,0.007886171,0.0036668372,-0.1428651,0.98970395,0.17453292
2802,0.007101116,0.0021457395,-0.11854646,0.9929208,0.17453292
2901,0.0074392185,0.001970328,-0.09383093,0.9955584,0.17453292
3001,0.007329291,0.002975138,-0.069510765,0.99754983,0.17453292
3102,0.007362164,0.0025534453,-0.042859823,0.9990507,0.17453292
3201,0.007275313,0.0028813055,-0.016834516,0.9998277,0.17453292
3301,0.0068574185,0.0029076913,0.007760277,0.9999421,0.17453292
3402,0.0069924286,0.0024129308,0.029368225,0.9995413,0.17453292
3501,0.0072053038,0.0041615865,0.05131101,0.99864805,0.17453292
3601,0.00703865,0.0035380786,0.07479145,0.99716806,0.17453292
3702,0.00650567,0.0018340186,0.09942381,0.99502224,0.17453292
3801,0.0062000575,0.0015652131,0.12200611,0.99250877,0.17453292
3901,0.006241392,0.0019011792,0.14044851,0.99006647,0.17453292
4001,0.005985274,0.0029574248,0.15590847,0.9877489,0.17453292
4102,0.0065986067,0.0023373382,0.17105702,0.9852363,0.17453292
4201,0.0065023513,0.0018811759,0.18391886,0.98291814,0.17453292
4301,0.006237219,0.0017881979,0.1941257,0.9809552,0.17453292
4402,0.0061873794,0.001991672,0.20292976,0.9791717,0.17453292
4501,0.0061285053,0.001965105,0.2091143,0.97787005,0.17453292
4602,0.0062287305,0.0016931226,0.21722628,0.9760999,0.17453292
4702,0.0060381456,0.0034697112,0.22358099,0.97466046,0.17453292
