Milliseconds,RotationVectorX,RotationVectorY,RotationVectorZ,RotationVectorcos,RotationVectorheadingAccuracy,CompassX,CompassY,CompassZ,GravityX,GravityY,GravityZ,AccelerometerLinearX,AccelerometerLinearY,AccelerometerLinearZ
13300.0,-0.18495128,-0.738321,0.6418018,0.093624815,0.17453292,-1.6414701702372376,28.151124256366614,-27.761141980510338,2.118323355615459e-07,7.74378309698065e-07,9.806650019562149,-2.1291813290996453,0.10190451963995051,0.21234195138123202
13325.0,-0.18796118,-0.73550034,0.64231837,0.105531946,0.17453292,-0.30427502315715493,27.91056864880108,-24.72070827109008,0.042847229639170314,-0.009703971235076603,9.806551437314205,-1.4084737815813537,-0.19039165540338476,-1.845393902073265
13350.0,-0.18965624,-0.73484313,0.6415278,0.11170601,0.17453292,-0.7972174522261284,30.279330165010435,-23.04923724780584,2.423652315508562e-07,5.827713975836701e-07,9.806650493286567,-0.9070761133079587,0.3123108505033746,-1.930892043966578
13375.0,-0.19349994,-0.73277825,0.6407698000000001,0.12250672,0.17453292,-2.4244645524443538,31.19285526513101,-22.433193752063037,1.7021942899653197e-07,9.537610452525769e-07,9.806650740827996,-1.4734984528936927,0.24117562547334392,-1.4514989068028177
13400.0,-0.19470295,-0.7314795999999999,0.64055157,0.12931411,0.17453292,-0.3079926863852869,29.133611767331598,-20.200611821051833,6.130072260912556e-08,-1.9466355083430642e-07,9.806650740090312,-1.1375860749478026,0.1369623194604812,-1.8242808472812972
13425.0,-0.20039545,-0.72824246,0.6403915,0.13929585,0.17453292,-1.4352357921993786,33.71859192081849,-19.24413132908839,0.038200356223449194,-0.002208657039498352,9.806575312947164,-0.5516427232215901,-0.2110081905042942,-1.8003374880275997
13450.0,-0.20292586,-0.7281443,0.63781387,0.14771758,0.17453292,-2.539268449015946,34.32037661241537,-16.969299019085234,1.2361103696179043e-08,-7.427028665407676e-07,9.806650349367997,-1.0124037831821875,0.8077379209305734,0.3410255520134622
13475.0,-0.20374724,-0.72829676,0.63469154,0.15886317,0.17453292,-0.9865039941156244,33.80557345278035,-16.587293024576063,8.878999535610888e-09,1.6638335864627152e-07,9.806650561468244,-1.7569212055617918,1.1632294413346873,1.0433149827175319
13500.0,-0.20397535,-0.7293295999999999,0.6313632,0.16689186,0.17453292,-0.8298015469270368,33.88388569925629,-15.556860259287875,-2.7635600674535965e-07,-8.820066423886885e-07,9.806650330808807,-1.2410642513243277,1.2082104592078862,1.5463437599610428
13525.0,-0.20439105,-0.735405,0.62406766,0.16716254,0.17453292,-0.24238701781516347,33.607052324614386,-13.528122477257348,-0.04115167492884475,-0.08590988255833287,9.806187465306857,0.11572043440620694,1.221925268622216,1.7237338378572735
