Milliseconds,X,Y,Z,cos,headingAccuracy
2328,-0.023031818,-0.657693,0.5566398,0.50701237,0.17453292
2354,-0.02833555,-0.65805084,0.5606495,0.5018349,0.17453292
2378,-0.033985257,-0.660389,0.56510967,0.49333805,0.17453292
2403,-0.047042064,-0.6661478,0.5838889,0.4616361,0.17453292
2428,-0.05955473,-0.66525,0.5930546,0.4496465,0.17453292
2454,-0.062724784,-0.6681796,0.59307534,0.44481832,0.17453292
2478,-0.057879817,-0.6756782,0.5764271,0.4558955,0.17453292
2503,-0.05815819,-0.6695123,0.56854707,0.47447357,0.17453292
2528,-0.0628952,-0.6603663,0.56928617,0.4856684,0.17453292
2553,-0.08951749,-0.6651404,0.59781015,0.43840382,0.17453292
2579,-0.11159123,-0.66643816,0.6301867,0.38245565,0.17453292
2603,-0.12096445,-0.65705824,0.6390252,0.38116777,0.17453292
2628,-0.12822539,-0.6544185,0.6471438,0.3694585,0.17453292
2653,-0.13700137,-0.6651248,0.649494,0.34204856,0.17453292
2678,-0.1439634,-0.6551209,0.6598638,0.33863086,0.17453292
2703,-0.15275683,-0.6631576,0.66940886,0.2979583,0.17453292
2729,-0.15530604,-0.67521524,0.6649797,0.27886623,0.17453292
2753,-0.17656808,-0.65454185,0.68996716,0.25366116,0.17453292
2778,-0.18232244,-0.6550766,0.69339687,0.23839872,0.17453292
2803,-0.18633458,-0.65611213,0.6952906,0.22664338,0.17453292
2828,-0.1901945,-0.65517545,0.69712657,0.22042164,0.17453292
2854,-0.19455215,-0.6556633,0.6983965,0.21094419,0.17453292
2878,-0.19676182,-0.6576234,0.6976974,0.20502335,0.17453292
2903,-0.199136,-0.66083795,0.69610137,0.19768892,0.17453292
2928,-0.2032336,-0.66779816,0.69112515,0.18731728,0.17453292
2954,-0.20724113,-0.6732358,0.6851596,0.18536732,0.17453292
2978,-0.20808205,-0.6753756,0.68245274,0.18662238,0.17453292
3003,-0.20928577,-0.6778712,0.67891794,0.18910436,0.17453292
3028,-0.20923911,-0.6824076,0.67447203,0.1887494,0.17453292
3053,-0.21288298,-0.6893495,0.6678181,0.18302217,0.17453292
3079,-0.21840107,-0.69061595,0.66619056,0.17759691,0.17453292
3103,-0.22347556,-0.69190216,0.66481566,0.17131907,0.17453292
3128,-0.22500972,-0.7045478,0.65242755,0.16529156,0.17453292
3153,-0.22386858,-0.716089,0.6389675,0.16976415,0.17453292
3179,-0.22536685,-0.7251075,0.62981,0.1636101,0.17453292
